id,category,sub_category,scratch_text,reference_link,source_name
1,Education,Scholarship,"🎓 Did you know? The National Scholarship Portal (NSP) allows Indian students to apply for multiple central, state, and UGC scholarships in one place. Many scholarships support tuition fees, hostel expenses, and study costs for eligible students based on income, merit, or category.",https://scholarships.gov.in,National Scholarship Portal
2,Education,Scholarship,💰 Did you know? The Central Sector Scheme of Scholarships supports meritorious Class 12 students pursuing college education. Eligible students from lower-income families can receive annual financial support to reduce higher education costs and continue studies without financial pressure.,https://scholarships.gov.in,CSSS
3,Education,Fellowship,🔬 Did you know? The Prime Minister’s Research Fellowship (PMRF) supports talented students pursuing PhDs in science and technology at top institutions like IITs and IISc. Selected scholars receive monthly stipends and research funding to encourage advanced innovation in India.,https://pmrf.in,PMRF
4,Education,Fellowship,📚 Did you know? UGC Junior Research Fellowship (JRF) provides monthly financial assistance to students who qualify UGC-NET and pursue research. It helps postgraduate students focus on PhD-level academic work without worrying too much about financial challenges.,https://ugcnet.nta.ac.in,UGC JRF
5,Education,Entrance Exam,"🧠 Did you know? The Common University Entrance Test (CUET) helps students apply to many central universities through one entrance exam. Instead of multiple admission tests, students can use CUET scores for colleges like Delhi University and BHU.",https://cuet.nta.nic.in,CUET
6,Education,Entrance Exam,🏫 Did you know? GATE is not only for M.Tech admissions — many PSUs also recruit engineers through GATE scores. Companies and government organizations use performance in the exam for technical hiring opportunities across India.,https://gate2026.iitg.ac.in,GATE
7,Education,Internship,"💼 Did you know? The AICTE Internship Portal helps engineering and technical students discover internships with startups, industries, and government projects. Students can gain real work experience and practical skills while improving placement opportunities.",https://internship.aicte-india.org,AICTE Internship Portal
8,Education,Scheme,"🚀 Did you know? SWAYAM offers free online courses from top Indian institutions like IITs, IIMs, and central universities. Students can learn technical, business, and academic subjects online and even earn certificates in some courses.",https://swayam.gov.in,SWAYAM
9,Education,Fellowship,"🌍 Did you know? The Fulbright-Nehru Fellowship supports Indian students and researchers who want to study, teach, or conduct research in the United States. It helps build academic exposure and international career opportunities.",https://www.usief.org.in,Fulbright-Nehru Fellowship
10,Education,Entrance Exam,📖 Did you know? Qualifying UGC-NET can help students become Assistant Professors in colleges and universities. High scorers may also receive Junior Research Fellowship benefits to support research and higher studies in India.,https://ugcnet.nta.ac.in,UGC NET
11,Education,Scholarship,"🎓 Did you know? The AICTE Pragati Scholarship supports girls pursuing technical education in diploma and degree programs. Eligible students can receive financial assistance to continue engineering and technical studies, helping more women build careers in STEM and innovation.",https://www.aicte-india.org,AICTE Pragati
12,Education,Scholarship,"🧑‍🎓 Did you know? The Saksham Scholarship supports specially-abled students pursuing technical education in India. Financial support helps students continue higher education while improving access to engineering, diploma, and professional learning opportunities.",https://www.aicte-india.org,AICTE Saksham
